link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed_kmph,free_speed_mph,FFTT,time_period,inflow_volume,volume,CA,CD,density,queue,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed,geometry,notes
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0700:00.000_0701:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0701:00.000_0702:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0702:00.000_0703:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0703:00.000_0704:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0704:00.000_0705:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0705:00.000_0706:00.000,8.000,0.000,8.000,0.000,1.333,8.000,0.004,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0706:00.000_0707:00.000,0.000,0.000,8.000,0.000,1.333,8.000,0.004,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0707:00.000_0708:00.000,0.000,0.000,8.000,0.000,1.333,8.000,0.004,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0708:00.000_0709:00.000,1.000,0.000,9.000,0.000,1.500,9.000,0.005,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
1,network_wide,,1,2,-1,,1.0,6000.000,60.000,37.290,6.000,0709:00.000_0710:00.000,6.000,0.000,15.000,0.000,2.500,15.000,0.008,431.670,6.000,0.000,60.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",simulation-based
